date_saved,county,county_population,partially_covered,rate_partially_covered,fully_covered,rate_fully_covered,date_updated
2021-03-29,Centre,162385,15367,,25353,,2021-03-26
2021-03-29,Chester,524989,71775,,67446,,2021-03-26
2021-03-29,Clarion,38438,2941,,7055,,2021-03-26
2021-03-29,Clearfield,79255,5005,,13626,,2021-03-26
2021-03-29,Clinton,38632,2187,,5144,,2021-03-26
2021-03-29,Columbia,64964,5987,,12298,,2021-03-26
2021-03-29,Crawford,84629,5683,,15663,,2021-03-26
2021-03-29,Cumberland,253370,35388,,29885,,2021-03-26
2021-03-29,Dauphin,278299,26868,,27108,,2021-03-26
2021-03-29,Delaware,566747,68702,,68802,,2021-03-26
2021-03-29,Elk,29910,3027,,7507,,2021-03-26
2021-03-29,Erie,269728,24566,,41324,,2021-03-26
2021-03-29,Fayette,129274,12123,,20838,,2021-03-26
2021-03-29,Forest,7247,454,,1248,,2021-03-26
2021-03-29,Franklin,155027,11635,,17721,,2021-03-26
2021-03-29,Fulton,14530,784,,1069,,2021-03-26
2021-03-29,Greene,36233,2837,,4211,,2021-03-26
2021-03-29,Huntingdon,45144,3575,,6424,,2021-03-26
2021-03-29,Indiana,84073,8653,,9954,,2021-03-26
2021-03-29,Jefferson,43425,3031,,9851,,2021-03-26
2021-03-29,Juniata,24763,1871,,3158,,2021-03-26
2021-03-29,Lackawanna,209674,27700,,42806,,2021-03-26
2021-03-29,Lancaster,545724,57351,,64886,,2021-03-26
2021-03-29,Lawrence,85512,6357,,12340,,2021-03-26
2021-03-29,Lebanon,141793,11618,,16761,,2021-03-26
2021-03-29,Lehigh,369318,51556,,58569,,2021-03-26
2021-03-29,Luzerne,317417,33142,,54861,,2021-03-26
2021-03-29,Lycoming,113299,11270,,16051,,2021-03-26
2021-03-29,Mckean,40625,3325,,3911,,2021-03-26
2021-03-29,Mercer,109424,7868,,21946,,2021-03-26
2021-03-29,Mifflin,46138,3693,,6988,,2021-03-26
2021-03-29,Monroe,170271,16924,,14126,,2021-03-26
2021-03-29,Montgomery,830915,140871,,88305,,2021-03-26
2021-03-29,Montour,18230,1653,,6149,,2021-03-26
2021-03-29,Northampton,305285,46826,,47262,,2021-03-26
2021-03-29,Northumberland,90843,7906,,15896,,2021-03-26
2021-03-29,Perry,46272,6518,,3869,,2021-03-26
2021-03-29,Philadelphia,1584064,29990,,33391,,2021-03-26
2021-03-29,Pike,55809,6294,,4539,,2021-03-26
2021-03-29,Potter,16526,981,,1265,,2021-03-26
2021-03-29,Schuylkill,141359,16705,,21116,,2021-03-26
2021-03-29,Snyder,40372,3292,,5011,,2021-03-26
2021-03-29,Somerset,73447,6789,,8630,,2021-03-26
2021-03-29,Sullivan,6066,1306,,956,,2021-03-26
2021-03-29,Susquehanna,40328,3139,,4462,,2021-03-26
2021-03-29,Tioga,40591,2209,,4278,,2021-03-26
2021-03-29,Union,44923,4286,,5981,,2021-03-26
2021-03-29,Venango,50668,3072,,6174,,2021-03-26
2021-03-29,Warren,39191,4048,,3974,,2021-03-26
2021-03-29,Washington,206865,29600,,31566,,2021-03-26
2021-03-29,Wayne,51361,6545,,6892,,2021-03-26
2021-03-29,Westmoreland,348899,50639,,49483,,2021-03-26
2021-03-29,Wyoming,26794,2661,,3735,,2021-03-26
2021-03-29,York,449058,38823,,54533,,2021-03-26
2021-03-29,Out-of-State,0,146126,,108432,,2021-03-26
2021-04-05,Adams,103009,9690,,12366,,2021-04-02
2021-04-05,Allegheny,1216045,213569,,228138,,2021-04-02
2021-04-05,Armstrong,64735,9931,,10737,,2021-04-02
2021-04-05,Beaver,163929,13128,,18728,,2021-04-02
2021-04-05,Bedford,47888,4787,,4257,,2021-04-02
2021-04-05,Berks,421164,48781,,50923,,2021-04-02
2021-04-05,Blair,121829,10758,,17935,,2021-04-02
2021-04-05,Bradford,60323,3910,,8049,,2021-04-02
2021-04-05,Bucks,628270,83097,,88638,,2021-04-02
2021-04-05,Butler,187853,19464,,42920,,2021-04-02
2021-04-05,Cambria,130192,17224,,23182,,2021-04-02
2021-04-05,Cameron,4447,503,,1079,,2021-04-02
2021-04-05,Carbon,64182,8633,,10437,,2021-04-02
2021-04-05,Centre,162385,18655,,27920,,2021-04-02
2021-04-05,Chester,524989,86970,,78907,,2021-04-02
2021-04-05,Clarion,38438,2880,,7787,,2021-04-02
2021-04-05,Clearfield,79255,5512,,14357,,2021-04-02
2021-04-05,Clinton,38632,2290,,5674,,2021-04-02
2021-04-05,Columbia,64964,6898,,13345,,2021-04-02
2021-04-05,Crawford,84629,5310,,17394,,2021-04-02
2021-04-05,Cumberland,253370,39580,,34239,,2021-04-02
2021-04-05,Dauphin,278299,30639,,31652,,2021-04-02
2021-04-05,Delaware,566747,80279,,79638,,2021-04-02
2021-04-05,Elk,29910,2452,,8518,,2021-04-02
2021-04-05,Erie,269728,25062,,49432,,2021-04-02
2021-04-05,Fayette,129274,17055,,22447,,2021-04-02
2021-04-05,Forest,7247,421,,1356,,2021-04-02
2021-04-05,Franklin,155027,12710,,20026,,2021-04-02
2021-04-05,Fulton,14530,1099,,1120,,2021-04-02
2021-04-05,Greene,36233,4045,,4568,,2021-04-02
2021-04-05,Huntingdon,45144,3887,,7157,,2021-04-02
2021-04-05,Indiana,84073,9122,,11304,,2021-04-02
2021-04-05,Jefferson,43425,3328,,10297,,2021-04-02
2021-04-05,Juniata,24763,2041,,3513,,2021-04-02
2021-04-05,Lackawanna,209674,30198,,48267,,2021-04-02
2021-04-05,Lancaster,545724,68975,,74649,,2021-04-02
2021-04-05,Lawrence,85512,6829,,13611,,2021-04-02
2021-04-05,Lebanon,141793,14027,,18971,,2021-04-02
2021-04-05,Lehigh,369318,57979,,68110,,2021-04-02
2021-04-05,Luzerne,317417,37206,,60912,,2021-04-02
2021-04-05,Lycoming,113299,11262,,17950,,2021-04-02
2021-04-05,Mckean,40625,4252,,4416,,2021-04-02
2021-04-05,Mercer,109424,7589,,23717,,2021-04-02
2021-04-05,Mifflin,46138,3838,,7877,,2021-04-02
2021-04-05,Monroe,170271,20489,,16708,,2021-04-02
2021-04-05,Montgomery,830915,162770,,101801,,2021-04-02
2021-04-05,Montour,18230,1739,,6517,,2021-04-02
